id,bytes,anonymous,activityFactor,notMinor,uniquePages,comments,presenceFactor,frequencyFactor,regularityFactor,Weight_activityFactor,Weight_anonymous,Weight_bytes,Weight_comments,Weight_frequencyFactor,Weight_notMinor,Weight_regularityFactor,Weight_presenceFactor,Weight_uniquePages
1,407,0,2,0,2,1,0.886192025395062,0.009653009088262,0.004830917874396,4,9,2,6,6,8,4,4,2
2,247,0,3,0.333333333333333,3,1,0.868442535258442,0.014775450293676,0.009852216748768,4,9,2,6,6,8,4,4,2
3,6475,0,29,1,29,1,0.866413325921835,0.143163870611911,0.004950495049505,4,9,2,6,6,8,4,4,2
4,-2374,0,7,0.142857142857143,2,0.142857142857143,0.860636350078364,0.034788757016905,0.009950248756219,4,9,2,6,6,8,4,4,2
5,446,1,1,0,1,0,0.859939437150934,0.004973850079155,0.004975124378109,4,9,2,6,6,8,4,4,2
6,-766182,0,4271,0.095762116600328,1845,0.57761648325919,0.867081146561674,1,0.094059405940594,4,9,2,6,6,8,4,4,2
7,50121,1,250,0,97,0.108,0.857395894981522,1,0.03,4,9,2,6,6,8,4,4,2
8,3555,1,35,0,18,0.4,0.861671116378533,0.17373489892888,0.044776119402985,4,9,2,6,6,8,4,4,2
9,70651,0,302,0.16887417218543,153,0.367549668874172,0.854283335389485,1,0.150753768844221,4,9,2,6,6,8,4,4,2
10,-2505,1,43,0,35,0.116279069767442,0.867768495172662,0.211945955675307,0.01980198019802,4,9,2,6,6,8,4,4,2
11,5233,1,10,0,9,0.1,0.854706219759801,0.050043040973116,0.005025125628141,4,9,2,6,6,8,4,4,2
12,13653952,0,55803,0.20294607816784,34164,0.617870006988872,0.854939738585318,1,0.618090452261308,4,9,2,6,6,8,4,4,2
13,615633,0,2443,0.640196479738027,1224,0.684404420794106,0.861770276029902,1,0.557213930348258,4,9,2,6,6,8,4,4,2
14,-1012,1,1,0,1,0,0.852698530135189,0.005016086795486,0.005025125628141,4,9,2,6,6,8,4,4,2
15,17505,1,44,0,17,0.204545454545455,0.867779873012874,0.216872087846917,0.01980198019802,4,9,2,6,6,8,4,4,2
16,3067768,0,19518,0.094989240700892,11311,0.223486012911159,0.863042828464476,1,0.079601990049751,4,9,2,6,6,8,4,4,2
17,5,1,1,0,1,0,0.849854664139078,0.005032872110992,0.005050505050505,4,9,2,6,6,8,4,4,2
18,629501,0,1958,0.371807967313585,1402,0.684371807967314,0.863075808524589,1,0.169154228855721,4,9,2,6,6,8,4,4,2
19,984,1,7,0,5,0.857142857142857,0.843562028735675,0.035492907270455,0.025380710659899,4,9,2,6,6,8,4,4,2
20,104,1,6,0,3,0,0.843244563066464,0.030433945440366,0.00507614213198,4,9,2,6,6,8,4,4,2
21,54766,0,116,0.551724137931034,47,0.689655172413793,0.845313130324303,0.586949762586188,0.081218274111675,4,9,2,6,6,8,4,4,2
22,22511,1,198,0,120,0.434343434343434,0.839676731450763,1,0.147959183673469,4,9,2,6,6,8,4,4,2
23,1269,0,26,0.384615384615385,12,0.846153846153846,0.839093045772644,0.132532925086614,0.030612244897959,4,9,2,6,6,8,4,4,2
24,49280350,0,94918,0.467319159695737,57558,0.734107334752102,0.846161602023928,1,0.994923857868022,4,9,2,6,6,8,4,4,2
25,-1296051,0,5648,0.606763456090652,2841,0.494865439093484,0.839485657992315,1,0.122448979591837,4,9,2,6,6,8,4,4,2
26,99386,0,187,0.021390374331551,89,0.251336898395722,0.839549859043989,0.952698914786418,0.076530612244898,4,9,2,6,6,8,4,4,2
27,703732,0,12624,0.21958174904943,6998,0.642981622306717,0.836951658687289,1,0.143589743589744,4,9,2,6,6,8,4,4,2
28,4765102,0,24335,0.999547976166016,16048,1,0.831518318370596,1,0.097938144329897,4,9,2,6,6,8,4,4,2
29,556763,0,2766,0.161966738973247,1248,0.488430947216197,0.830892784682646,1,0.216494845360825,4,9,2,6,6,8,4,4,2
30,3056616,0,107864,0.99814581324631,90406,0.999916561596084,0.827432033477273,1,0.212435233160622,4,9,2,6,6,8,4,4,2
31,38542,0,900,0.811111111111111,671,0.747777777777778,0.826904345914831,1,0.134715025906736,4,9,2,6,6,8,4,4,2
32,2624,1,51,0,38,0.431372549019608,0.821893871816714,0.265408599814055,0.119791666666667,4,9,2,6,6,8,4,4,2
33,487834,0,3372,0.419632265717675,2044,0.539739027283511,0.840588965260003,1,0.056122448979592,4,9,2,6,6,8,4,4,2
34,1187,1,11,0,11,0.545454545454545,0.850826833341261,0.055298336123454,0.04040404040404,4,9,2,6,6,8,4,4,2
35,1036,1,12,0,12,0.833333333333333,0.817370799970945,0.062794655806551,0.010471204188482,4,9,2,6,6,8,4,4,2
36,3351978,0,27810,0.896008629989212,14727,0.437756202804746,0.847012258532899,1,0.257575757575758,4,9,2,6,6,8,4,4,2
37,1,1,1,0,1,1,0.816277639525514,0.005239895876638,0.005263157894737,4,9,2,6,6,8,4,4,2
38,1110558,0,9785,0.018497700562085,1480,0.622789984670414,0.818602425183918,1,0.068062827225131,4,9,2,6,6,8,4,4,2
39,387,1,9,0,5,0.111111111111111,0.816049369852965,0.047172254473784,0.005263157894737,4,9,2,6,6,8,4,4,2
40,75554,0,126,0.777777777777778,64,0.777777777777778,0.815729324986618,0.660670669819423,0.005263157894737,4,9,2,6,6,8,4,4,2
41,-71726,0,143,0,20,0.132867132867133,0.815263739474726,0.750236981179297,0.010526315789474,4,9,2,6,6,8,4,4,2
42,33633668,0,79431,0.484697410330979,32455,0.463093754327655,0.858969848796045,1,0.865000000000001,4,9,2,6,6,8,4,4,2
43,22845251,0,72011,0.914082570718363,40227,0.724750385357793,0.815133588203775,1,0.505263157894737,4,9,2,6,6,8,4,4,2
44,1222013,0,4252,0.694261523988711,1483,0.646754468485419,0.819061284651328,1,0.324607329842932,4,9,2,6,6,8,4,4,2
45,266,1,4,0,1,1,0.81049145084928,0.021109216306032,0.005291005291005,4,9,2,6,6,8,4,4,2
46,44371,0,450,0.531111111111111,185,0.886666666666667,0.813898339243578,1,0.047368421052632,4,9,2,6,6,8,4,4,2
47,1068652,0,8597,0.012678841456322,3142,0.320693265092474,0.807181393733248,1,0.143617021276596,4,9,2,6,6,8,4,4,2
48,9143921,0,21613,0.980844861888678,9163,0.76157867949845,0.815414390659957,1,0.142105263157895,4,9,2,6,6,8,4,4,2
49,2462,1,4,0,4,0.25,0.826637526898526,0.020696906193405,0.020725388601036,4,9,2,6,6,8,4,4,2
50,5306,0,859,0.383003492433062,482,0.436554132712456,0.839987766453795,1,0.051020408163265,4,9,2,6,6,8,4,4,2
51,79,1,4,0,2,0.75,0.795474584599674,0.021507713359286,0.005405405405405,4,9,2,6,6,8,4,4,2
52,5995,1,1,0,1,1,0.794938019186567,0.005380557646392,0.005405405405405,4,9,2,6,6,8,4,4,2
53,439655,0,14312,1,12935,1,0.862117079860263,1,0.502487562189054,4,9,2,6,6,8,4,4,2
54,379564,0,4618,0.361195322650498,2210,0.674967518406236,0.822880415546249,1,0.515624999999999,4,9,2,6,6,8,4,4,2
55,92079,1,456,0,324,0.355263157894737,0.818783023438645,1,0.287958115183246,4,9,2,6,6,8,4,4,2
56,-1714115,0,788,0.642131979695431,453,0.643401015228426,0.786759559985602,1,0.114754098360656,4,9,2,6,6,8,4,4,2
57,564,1,22,0,18,0.681818181818182,0.775709183750707,0.121306564879034,0.077348066298343,4,9,2,6,6,8,4,4,2
58,632495,0,21976,0.763560247542774,11448,0.782854022570076,0.793949924308402,1,0.659459459459458,4,9,2,6,6,8,4,4,2
59,15282,0,135,0.014814814814815,74,0.414814814814815,0.784898358197294,0.735666372642593,0.147540983606557,4,9,2,6,6,8,4,4,2
60,1516318,0,7617,0.626755940659052,4982,0.255218589996061,0.787971287592009,1,0.195652173913043,4,9,2,6,6,8,4,4,2
61,4,0,1,0,1,1,0.77224430054941,0.005538674528901,0.005555555555556,4,9,2,6,6,8,4,4,2
62,2048217,0,24147,0.956267859361411,20195,0.895266492732016,0.796764458743996,1,0.182795698924731,4,9,2,6,6,8,4,4,2
63,372107,0,11541,0.999826704791613,9832,0.999826704791613,0.766706536576958,1,0.111731843575419,4,9,2,6,6,8,4,4,2
64,27747,1,8,0,7,0,0.762408381282445,0.044881036909348,0.00561797752809,4,9,2,6,6,8,4,4,2
65,157594,0,5675,0.999823788546256,5243,0.999823788546256,0.787527277897488,1,0.152173913043478,4,9,2,6,6,8,4,4,2
66,137514,0,800,0.09875,549,0.7375,0.759288806868256,1,0.090395480225989,4,9,2,6,6,8,4,4,2
67,347614,0,800,0.77,335,0.75625,0.759261117215064,1,0.225988700564972,4,9,2,6,6,8,4,4,2
68,2373532,0,12893,0.733033428992477,7497,0.381292174047933,0.768571781252651,1,0.173184357541899,4,9,2,6,6,8,4,4,2
69,-18341,0,706,0.617563739376771,620,0.879603399433428,0.771326215279489,1,0.433333333333333,4,9,2,6,6,8,4,4,2
70,93,1,1,0,1,1,0.756454894625903,0.005654282717884,0.005681818181818,4,9,2,6,6,8,4,4,2
71,51091497,0,167262,0.972671616984133,80632,0.890794083533618,0.795344466331885,1,0.281081081081081,4,9,2,6,6,8,4,4,2
72,598,1,2,0,2,0,0.754269367461094,0.011341332478976,0.005681818181818,4,9,2,6,6,8,4,4,2
73,569,1,6,0,6,0.666666666666667,0.758897041179699,0.033816522706897,0.011299435028249,4,9,2,6,6,8,4,4,2
74,26095,1,247,0,134,0.554655870445344,0.827495298889295,1,0.300518134715026,4,9,2,6,6,8,4,4,2
75,5916,1,157,0,101,0.515923566878981,0.804506947820783,0.834699993969027,0.159574468085106,4,9,2,6,6,8,4,4,2
76,-36754,1,73,0,50,0.479452054794521,0.749632698730596,0.416519074833949,0.068571428571429,4,9,2,6,6,8,4,4,2
77,4888186,0,16123,0.185883520436643,5977,0.731563604788191,0.789104541929193,1,0.896739130434785,4,9,2,6,6,8,4,4,2
78,86509,1,10,0,8,1,0.748727730567542,0.057126371348628,0.005714285714286,4,9,2,6,6,8,4,4,2
79,-1,1,2,0,1,1,0.74860554295966,0.011427139106215,0.005714285714286,4,9,2,6,6,8,4,4,2
80,8837,0,63,0,32,0.031746031746032,0.74934681873789,0.35959880395433,0.085714285714286,4,9,2,6,6,8,4,4,2
81,67,1,4,0,3,0.25,0.74762068569172,0.022884384658695,0.011494252873563,4,9,2,6,6,8,4,4,2
82,203,1,3,0,3,0.333333333333333,0.746894586417686,0.017179973915957,0.005747126436782,4,9,2,6,6,8,4,4,2
83,-13,1,5,0,4,0.2,0.761987899542347,0.028066127035027,0.01685393258427,4,9,2,6,6,8,4,4,2
84,-291,1,18,0,11,0.722222222222222,0.761453344021826,0.101108988068931,0.056179775280899,4,9,2,6,6,8,4,4,2
85,4142177,0,34902,0.426623116153802,17899,0.90370179359349,0.81951144283499,1,0.376963350785341,4,9,2,6,6,8,4,4,2
86,887,1,4,0,4,0.75,0.745484023009052,0.02294997454286,0.011494252873563,4,9,2,6,6,8,4,4,2
87,564671,0,3496,0.100686498855835,752,0.577231121281464,0.778495921272831,1,0.412087912087912,4,9,2,6,6,8,4,4,2
88,-2002717,1,433,0,421,0,0.760283177297737,1,0.022598870056497,4,9,2,6,6,8,4,4,2
89,19469,1,89,0,46,0.415730337078652,0.860815928535375,0.442221923319775,0.084577114427861,4,9,2,6,6,8,4,4,2
90,1459,0,14,0,10,0.571428571428571,0.743945908978658,0.080490983286396,0.011560693641619,4,9,2,6,6,8,4,4,2
91,1182,1,3,0,2,0.666666666666667,0.743680337481889,0.017254227207449,0.005780346820809,4,9,2,6,6,8,4,4,2
92,94977,0,12613,0.228177277412194,8100,0.723063505906604,0.815044431810907,1,0.273684210526316,4,9,2,6,6,8,4,4,2
93,749298,0,11882,0.356337316950008,6726,0.855159064130618,0.769393989035696,1,0.29608938547486,4,9,2,6,6,8,4,4,2
94,1171,0,11,0,6,0.272727272727273,0.743416467298138,0.063287955382471,0.005780346820809,4,9,2,6,6,8,4,4,2
95,1024020,0,2121,0.003300330033003,1387,0.942951438000943,0.750338415251577,1,0.062857142857143,4,9,2,6,6,8,4,4,2
96,41543568,0,211323,0.568731278658736,147180,0.999900626055848,0.761897429623619,1,0.247191011235955,4,9,2,6,6,8,4,4,2
97,-6133,1,3,0,1,1,0.741634844384991,0.017301815859617,0.005780346820809,4,9,2,6,6,8,4,4,2
98,987305,0,1903,0.022070415133999,878,0.605359957961114,0.786476503413433,1,0.224043715846995,4,9,2,6,6,8,4,4,2
99,2051,1,27,0,14,0.444444444444444,0.741486265798354,0.155747545086738,0.005780346820809,4,9,2,6,6,8,4,4,2
